strategy,frame,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,position_error_m,orientation_error_rad,delta_q_norm_rad,success,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad
independent_zero,0,0.6459845900535583,0.17234976470470428,0.8146611452102661,0.6463561654090881,0.1724429726600647,0.8149420619010925,0.00047504752916357676,0.00018859376329092214,0.0,True,0.1961997942421849,0.5204011596798959,0.11970192469661667,-0.7634503055130749,0.014933524952227772,0.5874660850660516,-0.07458304064951538
independent_zero,1,0.6459845900535583,0.1723086507473415,0.8162312238975544,0.6463426351547241,0.17239725589752197,0.8164994716644287,0.0004560745898867337,0.00019168209243977115,0.008130409315104406,True,0.19668876682163958,0.5218453397503914,0.11929032301393142,-0.7571285265248,0.014777644582812085,0.5923204734551937,-0.07434827581468842
independent_zero,2,0.6459845900535583,0.17218542156575248,0.8177969991082957,0.6463289856910706,0.17226986587047577,0.8180524706840515,0.0004370410984756269,0.0001942665614319527,0.008050547390522767,True,0.19698521204173086,0.5232553130978733,0.11899468843342062,-0.7508668853940363,0.014748204524054266,0.5971615685165707,-0.07429544483972794
independent_zero,3,0.6459845900535583,0.17198041492255842,0.819354179161473,0.6463152170181274,0.17206116020679474,0.8195969462394714,0.0004180548346646238,0.0001971456357216591,0.007959683226619437,True,0.19709049646839463,0.5246264805264976,0.1188130485130442,-0.7446836494236544,0.014843873375327006,0.6019755982289906,-0.07442168830705648
independent_zero,4,0.6459845900535583,0.17169419272671846,0.8208984959347989,0.6463013887405396,0.17177169024944305,0.8211285471916199,0.00039911258419945446,0.00020014638210303227,0.00785760030539058,True,0.19700633555933217,0.5259541907550851,0.11874327332083347,-0.738597210190105,0.015063066220087361,0.6067487596366467,-0.07472377869368965
independent_zero,5,0.6459845900535583,0.17132753949337634,0.8224257165633417,0.6462876796722412,0.171402245759964,0.8226431012153625,0.00038039509743817315,0.00020313879885367053,0.007744229594099929,True,0.1967347708294016,0.5272337566714032,0.11878310448459839,-0.7326260285712058,0.015403962953875657,0.6114672564480786,-0.07519815879371498
independent_zero,6,0.6459845900535583,0.17088146019355888,0.8239316550415146,0.6462740302085876,0.17095385491847992,0.8241365551948547,0.00036194015027157035,0.00020626904497443263,0.007619674534787698,True,0.1962781489230434,0.5284604740705002,0.11893018140792486,-0.7267885745782559,0.015864526349908037,0.6161173385409402,-0.07584097915756394
independent_zero,7,0.6459845900535583,0.17035717749962034,0.8254121836966252,0.6462604999542236,0.17042772471904755,0.8256047964096069,0.00034380639996403845,0.00020875127723978361,0.007484237159570354,True,0.19563910269717721,0.5296296429404103,0.11918206459156974,-0.721103261941434,0.016442519624868607,0.620685343527285,-0.0766481341846521
independent_zero,8,0.6459845900535583,0.1697561284339823,0.8268632445025401,0.6462472081184387,0.16982531547546387,0.8270437121391296,0.00032607309390179706,0.0002120259621996275,0.007338445515080706,True,0.19482053434632954,0.5307365913317348,0.11953625599051897,-0.7155883773992774,0.017135523373734734,0.6251577403495875,-0.07761529658014253
independent_zero,9,0.6459845900535583,0.16907996043035534,0.8282808602024525,0.6462340950965881,0.1691482663154602,0.8284494876861572,0.0003087939259406506,0.00021506665645589014,0.007183082496150992,True,0.19382560061224888,0.5317767017771581,0.11999021645377297,-0.7102620048740617,0.017940951649984684,0.6295211749797271,-0.07873794987184245
